"","member_casual","weekday","number_of_rides","average_duration"
"1","casual","Sun",280994,2987.73425767248
"2","casual","Mon",164524,2636.1477839088
"3","casual","Tue",161990,2362.47664670668
"4","casual","Wed",168598,2394.90693839868
"5","casual","Thu",176313,2476.06881511787
"6","casual","Fri",228972,2511.77631762891
"7","casual","Sat",358721,2752.15683776422
"8","member","Sun",279022,1064.15440717962
"9","member","Mon",287008,910.84183716102
"10","member","Tue",307072,891.993565027365
"11","member","Wed",323538,908.76215158674
"12","member","Thu",319275,893.918944483836
"13","member","Fri",334732,934.834987393085
"14","member","Sat",340937,1048.96591159085
